Task, StreamingStep, RR, nDCG, Success
0,0,0.5989248592550241,0.3841767347094915,0.7998999499749875
1,1,0.5850937092008519,0.5185752369390888,0.7662337662337663
0,1,0.5970163653255199,0.3840846343250135,0.7998999499749875
2,2,0.637568495793779,0.5384582479498075,0.7974068071312804
0,2,0.5952037526699858,0.3816406272305975,0.7953976988494247
1,2,0.5814475537689823,0.5141582503604915,0.7608225108225108
3,3,0.6315050069244702,0.5214857560230982,0.8036912751677853
0,3,0.5937976924970421,0.3799678821614383,0.7913956978489245
1,3,0.5763180272108841,0.5111287397073012,0.7575757575757576
2,3,0.6280575493298344,0.5296001383823453,0.7909238249594813
4,4,0.593956015427978,0.47753417694745587,0.7327102803738318
0,4,0.5907235363713602,0.37674912079154926,0.7888944472236118
1,4,0.5712765409193978,0.506183861657186,0.7543290043290043
2,4,0.6111548455146506,0.5099735466803774,0.7649918962722853
3,4,0.6198918717375094,0.5090822600438656,0.7986577181208053
