Task, StreamingStep, RR, nDCG, Success
0,0,0.5517433862433863,0.573346254662655,0.68
1,1,0.29534374539727787,0.37096467559612006,0.6067094932191291
0,1,0.5528544973544974,0.5755327679680217,0.6866666666666666
2,2,0.4770447530864197,0.38987610038136017,0.6203703703703703
0,2,0.5493637566137566,0.5720404597241845,0.6833333333333333
1,2,0.28305886951497167,0.35320317145459035,0.5710206995003569
3,3,0.7350340136054422,0.5056723880911151,0.9387755102040817
0,3,0.5490066137566137,0.5717159823083843,0.6833333333333333
1,3,0.2392369962498439,0.29971662016918316,0.4860813704496788
2,3,0.44920696159122087,0.36499960284808647,0.5802469135802469
4,4,0.8595391086727716,0.8412885750547494,0.8883888388838884
0,4,0.5490066137566137,0.5717159823083843,0.6833333333333333
1,4,0.2503577376703712,0.31343469298347576,0.5074946466809421
2,4,0.46414302861062107,0.38137826379297,0.6033950617283951
3,4,0.7503401360544217,0.5045511701380926,0.9387755102040817
