Task, StreamingStep, RR, nDCG, Success
0,0,0.6054229495700231,0.39101252640278017,0.8074037018509255
1,1,0.5348944375730087,0.4629047100158623,0.6915584415584416
0,1,0.5992109149813003,0.3847788199861647,0.8024012006003002
2,2,0.5535083995780916,0.438897442111767,0.6709886547811994
0,2,0.5985028228399917,0.38364376848194837,0.8009004502251126
1,2,0.5315510547653403,0.45948461529183604,0.6872294372294372
3,3,0.58867050175775,0.47000125156862,0.7399328859060402
0,3,0.5973661433891552,0.3823280212196486,0.7988994497248624
1,3,0.5234831306259876,0.449881209125213,0.6753246753246753
2,3,0.5460690489053537,0.4302859343971358,0.6596434359805511
4,4,0.4987679869455567,0.37163913351037015,0.6074766355140186
0,4,0.5943320866782601,0.37851160273747375,0.7968984492246123
1,4,0.5181049439978009,0.44496761830236037,0.670995670995671
2,4,0.5320450978878856,0.41928758571650304,0.6434359805510534
3,4,0.5833546393949077,0.46478311666098143,0.7348993288590604
