Task, StreamingStep, RR, nDCG, Success
0,0,0.5537976190476191,0.5779322475068205,0.6933333333333334
1,1,0.1973307048253515,0.24383253343890157,0.3868665239114918
0,1,0.5522420634920635,0.5766822251737928,0.6933333333333334
2,2,0.30185797570056816,0.2234977713067053,0.37962962962962965
0,2,0.5522420634920635,0.5766822251737928,0.6933333333333334
1,2,0.19491972853857228,0.23971158383386937,0.377587437544611
3,3,0.7129251700680272,0.4365508058633087,0.9183673469387755
0,3,0.5521309523809523,0.5765972262035002,0.6933333333333334
1,3,0.17894247872834598,0.2205846515195691,0.34760885082084225
2,3,0.27529088281403086,0.2022008661805923,0.3441358024691358
4,4,0.30868670200353365,0.29590281672230323,0.3159315931593159
0,4,0.5521309523809523,0.5765972262035002,0.6933333333333334
1,4,0.17798228023067425,0.21952266806397877,0.3461812990720914
2,4,0.27202442190868104,0.19960527604183345,0.3395061728395062
3,4,0.7129251700680272,0.4341334879924451,0.9183673469387755
