Task, StreamingStep, RR, nDCG, Success
0,0,0.599654192175453,0.3855943392257779,0.8014007003501751
1,1,0.4865367106438533,0.41182002815376634,0.6136363636363636
0,1,0.5936388829335304,0.37899692130268703,0.7953976988494247
2,2,0.47435234493581324,0.36801209078370073,0.5769854132901134
0,2,0.593062205706028,0.37822734083152737,0.7953976988494247
1,2,0.4807389369889368,0.40641023325776454,0.6060606060606061
3,3,0.5502243794609565,0.4244280897083761,0.6879194630872483
0,3,0.5924783820481674,0.3762866336384506,0.7903951975987994
1,3,0.4744666048237475,0.3948836513221155,0.5952380952380952
2,3,0.4601277301844562,0.3542182747500109,0.5575364667747164
4,4,0.4046970034119566,0.2851536282362894,0.491588785046729
0,4,0.5889807999237717,0.37340266858562005,0.7873936968484242
1,4,0.46927952999381556,0.389053014419767,0.5898268398268398
2,4,0.44250726762882364,0.3394086834248155,0.539708265802269
3,4,0.542933045701502,0.42009488249286325,0.6845637583892618
