task,RR,nDCG,Success
0,1.0,0.932223497183239,1.0
1,1.0,0.8318724637288826,1.0
2,1.0,0.6257049680303419,1.0
3,1.0,1.0,1.0
4,1.0,0.9134015924715543,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,0.6131471927654584,1.0
8,0.3333333333333333,0.40179981797758046,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,0.5,0.6844642384164166,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,0.983303248698947,1.0
16,1.0,0.9930783166417602,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,0.983303248698947,1.0
20,1.0,1.0,1.0
21,1.0,0.43231813227099475,1.0
22,1.0,0.6131471927654584,1.0
23,1.0,0.5842273861585908,1.0
24,1.0,1.0,1.0
25,1.0,0.8435385085913266,1.0
26,1.0,0.9062487935025676,1.0
27,1.0,1.0,1.0
28,0.25,0.2640681225725909,1.0
29,1.0,0.9083745556952364,1.0
30,1.0,0.9305687780632227,1.0
31,1.0,1.0,1.0
32,1.0,0.9447176050778178,1.0
33,1.0,0.9305687780632227,1.0
34,1.0,0.8358912271816661,1.0
35,1.0,0.7227265726449519,1.0
36,1.0,1.0,1.0
37,1.0,0.5857421563596757,1.0
38,1.0,0.44615333764087994,1.0
39,0.0,0.0,0.0
40,1.0,0.7948833326720564,1.0
41,1.0,1.0,1.0
42,1.0,1.0,1.0
43,1.0,1.0,1.0
44,1.0,1.0,1.0
45,1.0,1.0,1.0
46,1.0,1.0,1.0
47,1.0,1.0,1.0
48,1.0,1.0,1.0
49,1.0,0.7977228895450266,1.0
50,1.0,0.8318724637288826,1.0
51,1.0,0.892210845475489,1.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,0.0,0.0,0.0
55,1.0,1.0,1.0
56,1.0,1.0,1.0
57,0.5,0.7122630665145961,1.0
58,1.0,1.0,1.0
59,1.0,1.0,1.0
60,0.2,0.38685280723454163,1.0
61,1.0,0.9674679834891693,1.0
62,1.0,0.6131471927654584,1.0
63,1.0,0.9305687780632227,1.0
64,1.0,0.9197207891481876,1.0
65,1.0,0.6713860725233041,1.0
66,1.0,1.0,1.0
67,1.0,0.46927872602275644,1.0
68,1.0,1.0,1.0
69,0.0,0.0,0.0
70,1.0,0.9134015924715543,1.0
71,1.0,1.0,1.0
72,1.0,0.9197207891481876,1.0
73,0.5,0.6934264036172708,1.0
74,1.0,0.8772153153380493,1.0
75,1.0,1.0,1.0
76,1.0,0.7618870795651185,1.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,0.9176551163528843,1.0
81,1.0,0.7653606369886217,1.0
82,1.0,0.7653606369886217,1.0
83,1.0,0.8626199664389336,1.0
84,0.0,0.0,0.0
85,1.0,0.8315546295836225,1.0
86,0.0,0.0,0.0
87,1.0,0.5855700749881525,1.0
88,1.0,1.0,1.0
89,0.0,0.0,0.0
90,1.0,1.0,1.0
91,1.0,1.0,1.0
92,1.0,0.9674679834891693,1.0
93,0.5,0.32295017518832136,1.0
94,1.0,1.0,1.0
95,1.0,1.0,1.0
96,1.0,0.7227265726449519,1.0
97,1.0,0.46927872602275644,1.0
98,1.0,1.0,1.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
