task,RR,nDCG,Success
0,1.0,0.944501965649434,1.0
1,1.0,0.8318724637288826,1.0
2,1.0,0.6257049680303419,1.0
3,0.5,0.6309297535714575,1.0
4,1.0,0.7653606369886217,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,0.6131471927654584,1.0
8,0.5,0.4441228664487979,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,0.5,0.6947702914378464,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,0.892210845475489,1.0
16,1.0,0.892210845475489,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,0.9876712785649564,1.0
20,1.0,1.0,1.0
21,1.0,0.4537425745411855,1.0
22,1.0,0.6131471927654584,1.0
23,1.0,0.5842273861585908,1.0
24,1.0,0.7653606369886217,1.0
25,1.0,0.7703689102037634,1.0
26,1.0,0.909008065625576,1.0
27,0.0,0.0,0.0
28,0.3333333333333333,0.3065735963827292,1.0
29,1.0,0.8971754588393882,1.0
30,1.0,1.0,1.0
31,1.0,1.0,1.0
32,0.25,0.16812753627111746,1.0
33,1.0,0.9305687780632227,1.0
34,1.0,0.8358912271816661,1.0
35,1.0,0.7227265726449519,1.0
36,1.0,1.0,1.0
37,1.0,0.6684881776649958,1.0
38,1.0,0.5684045686173149,1.0
39,1.0,1.0,1.0
40,1.0,0.8611375561264454,1.0
41,0.0,0.0,0.0
42,1.0,0.9060254355346823,1.0
43,1.0,1.0,1.0
44,1.0,1.0,1.0
45,1.0,0.6131471927654584,1.0
46,1.0,1.0,1.0
47,1.0,1.0,1.0
48,1.0,1.0,1.0
49,1.0,0.6131471927654584,1.0
50,1.0,0.9493885684853097,1.0
51,1.0,0.4935232796777481,1.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,0.0,0.0,0.0
55,1.0,1.0,1.0
56,1.0,1.0,1.0
57,1.0,0.6364391809889587,1.0
58,1.0,1.0,1.0
59,1.0,1.0,1.0
60,0.0,0.0,0.0
61,1.0,0.46927872602275644,1.0
62,0.0,0.0,0.0
63,1.0,0.857980942822373,1.0
64,1.0,0.6131471927654584,1.0
65,1.0,0.6713860725233041,1.0
66,1.0,1.0,1.0
67,1.0,0.46927872602275644,1.0
68,1.0,1.0,1.0
69,0.3333333333333333,0.5,1.0
70,1.0,0.7653606369886217,1.0
71,1.0,1.0,1.0
72,1.0,0.6131471927654584,1.0
73,1.0,0.6131471927654584,1.0
74,1.0,0.9197207891481876,1.0
75,1.0,1.0,1.0
76,0.0,0.0,0.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,0.9279611693743142,1.0
81,1.0,0.7653606369886217,1.0
82,1.0,0.7653606369886217,1.0
83,1.0,0.892210845475489,1.0
84,0.3333333333333333,0.3065735963827292,1.0
85,1.0,0.6131471927654584,1.0
86,1.0,0.7526136409516659,1.0
87,1.0,0.7030861797445797,1.0
88,1.0,1.0,1.0
89,1.0,0.7653606369886217,1.0
90,1.0,0.7653606369886217,1.0
91,1.0,1.0,1.0
92,1.0,1.0,1.0
93,1.0,0.6755184993100495,1.0
94,1.0,1.0,1.0
95,1.0,1.0,1.0
96,1.0,1.0,1.0
97,1.0,0.46927872602275644,1.0
98,1.0,1.0,1.0
99,1.0,0.6364391809889587,1.0
100,1.0,1.0,1.0
