Task, StreamingStep, RR, nDCG, Success
0,0,0.15442225392296718,0.1609178516495915,0.1797432239657632
1,1,0.09880952380952382,0.10280563757653123,0.11428571428571428
0,1,0.11162624821683309,0.1166541356106121,0.1312410841654779
2,2,0.07285714285714286,0.08167350597004432,0.10714285714285714
0,2,0.10637184973846885,0.11197117588431107,0.12838801711840228
1,2,0.07797619047619048,0.08521911827195282,0.10714285714285714
3,3,0.017857142857142856,0.01879235538265327,0.02142857142857143
0,3,0.049096528768426066,0.05188431361962829,0.05991440798858773
1,3,0.039285714285714285,0.040220926811224696,0.04285714285714286
2,3,0.04523809523809524,0.04829899647959225,0.05714285714285714
4,4,0.03368794326241135,0.03589791710386419,0.0425531914893617
0,4,0.02650974797907751,0.027378796098739385,0.029957203994293864
1,4,0.039285714285714285,0.040220926811224696,0.04285714285714286
2,4,0.030357142857142857,0.031647689700524236,0.03571428571428571
3,4,0.010714285714285714,0.011649498239796125,0.014285714285714285
5,5,0.0,0.0,0.0
0,5,0.007132667617689016,0.007132667617689016,0.007132667617689016
1,5,0.007142857142857143,0.007142857142857143,0.007142857142857143
2,5,0.02142857142857143,0.02142857142857143,0.02142857142857143
3,5,0.0,0.0,0.0
4,5,0.0,0.0,0.0
