Task, StreamingStep, RR, nDCG, Success
0,0,0.22911645110719198,0.196050554963941,0.4691358024691358
1,1,0.22825520833333335,0.14901866943461714,0.4375
0,1,0.25541470703507746,0.20030098309004324,0.46296296296296297
2,2,0.21813797313797312,0.20820083597970662,0.49230769230769234
0,2,0.24298819321967477,0.19280529439608507,0.4506172839506173
1,2,0.19793526785714288,0.12771364307239608,0.359375
3,3,0.14846153846153845,0.1273087366362641,0.2923076923076923
0,3,0.22981089555163633,0.1891670989519581,0.43209876543209874
1,3,0.15299479166666666,0.10234618309339334,0.3125
2,3,0.23362637362637365,0.21899448055158705,0.5230769230769231
4,4,0.20043956043956043,0.1625174893244416,0.46153846153846156
0,4,0.20913923182441707,0.17301796817808043,0.41358024691358025
1,4,0.1505828373015873,0.11010212798661159,0.34375
2,4,0.2194139194139194,0.20413310516834995,0.4461538461538462
3,4,0.14978632478632478,0.14174000199202832,0.3230769230769231
5,5,0.21410256410256406,0.1751557558560727,0.4
0,5,0.18878600823045277,0.15574442740875785,0.3950617283950617
1,5,0.15837673611111108,0.11050050452005152,0.3125
2,5,0.1753174603174603,0.18260251816286419,0.4461538461538462
3,5,0.18512820512820516,0.1514373313157964,0.35384615384615387
4,5,0.22837606837606836,0.18092256068698018,0.46153846153846156
