Task, StreamingStep, RR, nDCG, Success
0,0,0.03423784067860638,0.028298564214489973,0.11691670977754785
1,1,0.027491694352159455,0.025730551006040086,0.10852713178294573
0,1,0.031903899687138214,0.02651096358783591,0.10450077599586136
2,2,0.030135146220417536,0.018668917073533027,0.09043927648578812
0,2,0.030048284186928835,0.024045559955819282,0.10553543714433523
1,2,0.021029695254501452,0.017411638207390546,0.08527131782945736
3,3,0.04373179935195438,0.03684499318226061,0.13178294573643412
0,3,0.0486643838428629,0.03852594602574868,0.14330056906363167
1,3,0.04201324802099995,0.03581008518412781,0.12919896640826872
2,3,0.0546388581272302,0.043075987146997924,0.15762273901808785
4,4,0.028300725975144568,0.025080890911687557,0.11627906976744186
0,4,0.03823093472602011,0.03087135031936025,0.12053802379720642
1,4,0.036091628727287633,0.02882553383684082,0.09819121447028424
2,4,0.03810344120421639,0.027964024938254683,0.11627906976744186
3,4,0.03718674377589105,0.02675027007159645,0.10852713178294573
5,5,0.03320926131003649,0.03155461682521343,0.11369509043927649
0,5,0.03762635593985829,0.028403927898056496,0.11122607346094154
1,5,0.02940814568721545,0.027536215391050774,0.11369509043927649
2,5,0.03397830277675238,0.02609523019286119,0.10077519379844961
3,5,0.03163734055206923,0.02801241964368627,0.10852713178294573
4,5,0.029527090767400836,0.020533516640542575,0.10077519379844961
