Task, StreamingStep, RR, nDCG, Success
0,0,0.4606666666666667,0.4890585199240968,0.64
1,1,0.46111111111111114,0.4972169425000068,0.6
0,1,0.4685555555555556,0.5005868342817821,0.6533333333333333
2,2,0.3355555555555555,0.3595192840476249,0.5333333333333333
0,2,0.43417460317460327,0.4607138606009873,0.6
1,2,0.44166666666666665,0.4732485188900596,0.6
3,3,0.5488505747126436,0.5459254106613821,0.7241379310344828
0,3,0.4357777777777778,0.4697545588539995,0.6266666666666667
1,3,0.39365079365079364,0.42043251337607496,0.5333333333333333
2,3,0.4583333333333333,0.45959668990585895,0.5666666666666667
4,4,0.4041666666666667,0.4785061925025212,0.7
0,4,0.4451111111111111,0.4743339474248375,0.6533333333333333
1,4,0.4,0.43535719910812964,0.5666666666666667
2,4,0.28833333333333333,0.32804161265312554,0.5
3,4,0.4867816091954023,0.4765163396503297,0.6896551724137931
5,5,0.4861111111111111,0.47925478680883243,0.6666666666666666
0,5,0.3830000000000001,0.418165256308288,0.58
1,5,0.3972222222222222,0.44580387871691374,0.6
2,5,0.3555555555555555,0.36663366158797145,0.5
3,5,0.5057471264367817,0.49228162244879525,0.6896551724137931
4,5,0.46666666666666673,0.517028531832177,0.6666666666666666
