Task, StreamingStep, RR, nDCG, Success
0,0,0.5291666666666667,0.23182477110612812,0.75
1,1,0.6666666666666666,0.34234568684472777,1.0
0,1,0.5395171957671958,0.2180025795851669,0.8333333333333334
2,2,0.4666666666666666,0.2588413699207252,0.8
0,2,0.36984126984126986,0.18112736459868836,0.75
1,2,0.4666666666666667,0.23492875002992525,0.8
3,3,0.55,0.2225654230862014,1.0
0,3,0.45398478835978834,0.20069993544550965,0.75
1,3,0.27222222222222225,0.14655990925068135,0.8
2,3,0.2785714285714286,0.09275361951358468,0.6
4,4,0.2233333333333333,0.06295389124459438,0.8
0,4,0.31335978835978834,0.13275390223111852,0.625
1,4,0.26222222222222225,0.19357594294644237,0.6
2,4,0.20714285714285713,0.07912323639269939,1.0
3,4,0.4066666666666666,0.1731728497606852,1.0
5,5,0.36666666666666664,0.1755414877120572,0.8
0,5,0.2587962962962963,0.11240117340284807,0.625
1,5,0.19523809523809524,0.15724500668294622,0.6
2,5,0.33690476190476193,0.09223637802736348,1.0
3,5,0.75,0.27620949686553886,1.0
4,5,0.36666666666666664,0.0932057656350889,0.6
