Task, StreamingStep, RR, nDCG, Success
0,0,0.7103809523809523,0.4702469830511128,0.92
1,1,0.6535714285714286,0.33572158383798617,1.0
0,1,0.7044444444444444,0.4557473358169981,0.96
2,2,0.5916666666666666,0.3883073516862761,1.0
0,2,0.7883333333333333,0.4857621174689132,1.0
1,2,0.74,0.376812665081835,1.0
3,3,0.5066666666666667,0.3063660078322755,0.8
0,3,0.855,0.46082523849866247,0.96
1,3,0.47000000000000003,0.23237492905370502,0.8
2,3,0.5952380952380952,0.45830480212514313,1.0
4,4,0.538888888888889,0.24362644614829693,1.0
0,4,0.7053333333333334,0.4385883222257176,0.96
1,4,0.6916666666666667,0.3068458942858883,1.0
2,4,0.44523809523809527,0.41904718535404184,1.0
3,4,0.65,0.39502878092408283,1.0
5,5,0.475,0.3426635640200978,1.0
0,5,0.722047619047619,0.4436723178695054,1.0
1,5,0.74,0.366337662333288,1.0
2,5,1.0,0.5721642897481933,1.0
3,5,0.44000000000000006,0.3339961609419976,0.6
4,5,0.2,0.14428426831878077,0.4
