Task, StreamingStep, RR, nDCG, Success
0,0,0.42795169508132463,0.3498023811866752,0.5925925925925926
1,1,0.33576388888888886,0.24297623234663146,0.515625
0,1,0.3914658044287673,0.31704241581885917,0.5432098765432098
2,2,0.4685225885225885,0.3736998558422793,0.6153846153846154
0,2,0.3849928963354889,0.3003197305526756,0.5092592592592593
1,2,0.34068700396825397,0.23498643946767656,0.5
3,3,0.26282051282051283,0.20615680817402726,0.38461538461538464
0,3,0.36861772486772476,0.30078753193138263,0.5185185185185185
1,3,0.30370783730158735,0.22387342290247875,0.4375
2,3,0.45141025641025645,0.37501876040677934,0.5538461538461539
4,4,0.3692735042735043,0.27933372211438773,0.5230769230769231
0,4,0.37486894963746803,0.30025201919718203,0.5092592592592593
1,4,0.3154513888888889,0.21113817391216064,0.5
2,4,0.45423076923076927,0.3691354446184706,0.5538461538461539
3,4,0.325976800976801,0.2613605562618712,0.46153846153846156
5,5,0.38512820512820517,0.28980896673900486,0.5076923076923077
0,5,0.33309572800313547,0.2725128508859224,0.4783950617283951
1,5,0.23255208333333333,0.14842297697843757,0.3125
2,5,0.4444444444444445,0.3626104584700721,0.5846153846153846
3,5,0.2333333333333333,0.18512428667787295,0.3384615384615385
4,5,0.36769230769230765,0.26840848978310533,0.5076923076923077
