Task, StreamingStep, RR, nDCG, Success
0,0,0.46894251061348874,0.3644562254471647,0.5794102431453699
1,1,0.4571725934129035,0.3737278635478926,0.5607235142118863
0,1,0.4331370761789801,0.33734578152298805,0.5395757889291257
2,2,0.4678807267954556,0.36517386243514716,0.5891472868217055
0,2,0.44086829420507667,0.34368605450114215,0.5478530781169167
1,2,0.4641995816414421,0.3696306913738569,0.5736434108527132
3,3,0.43354353800090234,0.3306140782097023,0.5426356589147286
0,3,0.4324386799037603,0.336501986316429,0.5364718054837041
1,3,0.436541774332472,0.35018414494554845,0.5684754521963824
2,3,0.43413518723596234,0.33401871754581286,0.5426356589147286
4,4,0.38359070587752747,0.2977433974326999,0.4909560723514212
0,4,0.40942013811905226,0.3163646902043429,0.519917227108122
1,4,0.40531971617242946,0.3257130129930701,0.5297157622739018
2,4,0.4163990402362497,0.3176819621630709,0.5400516795865633
3,4,0.4320351913375169,0.32088228968442045,0.5400516795865633
5,5,0.4217966859439727,0.3176189167232807,0.524547803617571
0,5,0.3882432521206451,0.30375673403026743,0.49301603724780135
1,5,0.3804571182478159,0.30882864425493056,0.4754521963824289
2,5,0.40036708912677904,0.3141683707995151,0.5219638242894057
3,5,0.37381054919814605,0.29428795946389513,0.48578811369509045
4,5,0.35388929904433786,0.273921303325475,0.4625322997416021
