Task, StreamingStep, RR, nDCG, Success
0,0,0.6548518518518518,0.688433271797843,0.8266666666666667
1,1,0.6277777777777779,0.6350216847573215,0.6666666666666666
0,1,0.6363227513227514,0.6648741751867281,0.7866666666666666
2,2,0.5377777777777778,0.5723335993235364,0.7
0,2,0.6244074074074074,0.6518480164237064,0.78
1,2,0.6075396825396826,0.6271553478042123,0.7
3,3,0.6681034482758621,0.688353644876,0.8275862068965517
0,3,0.6233597883597884,0.6484981754673322,0.7733333333333333
1,3,0.6048148148148147,0.6272937518823326,0.7
2,3,0.5430555555555555,0.5659439944061014,0.6666666666666666
4,4,0.6869841269841269,0.7300680075866713,0.8666666666666667
0,4,0.6088306878306879,0.6396594468155902,0.7666666666666667
1,4,0.6066666666666667,0.6216237438125819,0.6666666666666666
2,4,0.4992063492063492,0.5315321894879584,0.6666666666666666
3,4,0.6698686371100164,0.691811455695356,0.8275862068965517
5,5,0.6836507936507936,0.6950043144980831,0.8333333333333334
0,5,0.6090899470899471,0.6401372989124723,0.7733333333333333
1,5,0.6037037037037037,0.6235962575163883,0.7
2,5,0.5344444444444444,0.566023162752961,0.7
3,5,0.6526272577996717,0.6790848954736821,0.8275862068965517
4,5,0.6755555555555556,0.7060618029010753,0.8
