Task, StreamingStep, RR, nDCG, Success
0,0,0.6437499999999999,0.3297327995342941,0.875
1,1,0.4800000000000001,0.3278522502031098,1.0
0,1,0.5955357142857142,0.285657190465293,0.875
2,2,0.6666666666666666,0.4003988868687401,1.0
0,2,0.6822916666666666,0.32793143502662775,0.9166666666666666
1,2,0.3638095238095238,0.27497306972278807,1.0
3,3,0.6666666666666667,0.3180872519682008,0.8
0,3,0.5823412698412699,0.25484273750588765,0.9166666666666666
1,3,0.4619047619047619,0.2904802962349947,1.0
2,3,0.8,0.3236530301761357,0.8
4,4,0.6333333333333334,0.28564332794094355,1.0
0,4,0.5708333333333334,0.2710763007450394,0.875
1,4,0.4583333333333333,0.31786086738339253,1.0
2,4,0.8666666666666666,0.3684759470822807,1.0
3,4,0.5,0.21085809905505076,0.6
5,5,0.6,0.4617109639106373,0.8
0,5,0.5323412698412698,0.24703992216057843,0.8333333333333334
1,5,0.4174603174603175,0.2525033958518029,1.0
2,5,0.7666666666666666,0.3655117422224591,1.0
3,5,0.8,0.2673212055243237,0.8
4,5,0.6333333333333334,0.2958410324650948,1.0
