Task, StreamingStep, RR, nDCG, Success
0,0,0.825,0.60081837442052,1.0
1,1,0.6,0.46712391174541884,0.8
0,1,0.8039999999999999,0.5815738069873356,1.0
2,2,0.74,0.7087110378160193,1.0
0,2,0.7766666666666667,0.549751261740159,0.92
1,2,0.5666666666666667,0.431902159857047,0.8
3,3,0.7,0.5450267335637011,1.0
0,3,0.7766666666666667,0.5416711339772493,0.92
1,3,0.5666666666666667,0.431902159857047,0.8
2,3,0.7285714285714285,0.704933258978573,1.0
4,4,0.7,0.3715499877191144,1.0
0,4,0.7766666666666667,0.5362437161616028,0.92
1,4,0.5666666666666667,0.431902159857047,0.8
2,4,0.7285714285714285,0.704933258978573,1.0
3,4,0.7,0.5450267335637011,1.0
5,5,0.75,0.40469153299486055,1.0
0,5,0.7266666666666667,0.5110350133328683,0.92
1,5,0.5666666666666667,0.431902159857047,0.8
2,5,0.725,0.7036200318949689,1.0
3,5,0.7,0.5450267335637011,1.0
4,5,0.68,0.34823096585064645,1.0

