Task, StreamingStep, RR, nDCG, Success
0,0,0.35037701243122077,0.44588722071607184,0.7446504992867332
1,1,0.2818537414965986,0.3695942980861707,0.65
0,1,0.3089079093358696,0.40844460196980026,0.7203994293865906
2,2,0.30179138321995475,0.3926339509440228,0.7
0,2,0.27446335167447844,0.37453298275724084,0.6918687589158345
1,2,0.252454648526077,0.3379751018729408,0.6071428571428571
3,3,0.2263265306122449,0.31942780226459977,0.6142857142857143
0,3,0.24873083803183646,0.34902014036038526,0.6676176890156919
1,3,0.22662131519274378,0.3172944463023159,0.6
2,3,0.26257369614512477,0.3608871163148833,0.6857142857142857
4,4,0.27839975233592257,0.3890861386329458,0.7163120567375887
0,4,0.22761248103616147,0.3280244137509765,0.6490727532097005
1,4,0.21337585034013604,0.30345405929205693,0.5857142857142857
2,4,0.23529195011337858,0.34170679994244496,0.6857142857142857
3,4,0.21468820861677998,0.30598021745284315,0.5928571428571429
5,5,0.2165924403334475,0.3028315459163736,0.5899280575539568
0,5,0.20781479971922184,0.3095989326639493,0.6348074179743224
1,5,0.19132086167800452,0.28468366213934654,0.5785714285714286
2,5,0.21922619047619044,0.3237984025757545,0.6642857142857143
3,5,0.19421768707482992,0.28381623258639754,0.5642857142857143
4,5,0.24499887425419337,0.36238091503938147,0.7092198581560284
