Task, StreamingStep, RR, nDCG, Success
0,0,0.552434842249657,0.4810898615462406,0.7314814814814815
1,1,0.5741753472222222,0.42548381893392656,0.734375
0,1,0.5369647756221828,0.46268313047182297,0.7129629629629629
2,2,0.563028083028083,0.505626946102775,0.7692307692307693
0,2,0.5236454046639231,0.44851644931522905,0.6975308641975309
1,2,0.5454427083333333,0.40222824164297044,0.71875
3,3,0.4779670329670329,0.39445278914774756,0.7076923076923077
0,3,0.5163776210072506,0.43876203719123685,0.691358024691358
1,3,0.5204613095238095,0.3830666349437484,0.703125
2,3,0.5423626373626373,0.4877901545579718,0.7538461538461538
4,4,0.4883516483516483,0.3869117250770586,0.6615384615384615
0,4,0.5046908681167941,0.42742943044265863,0.6820987654320988
1,4,0.516796875,0.3776620941454911,0.6875
2,4,0.5309157509157508,0.47852042080412655,0.7538461538461538
3,4,0.4566117216117215,0.3795919670748788,0.6923076923076923
5,5,0.5509340659340659,0.4808977655750955,0.8
0,5,0.49509847148736047,0.41799417546297807,0.6697530864197531
1,5,0.49521949404761906,0.36612181411230527,0.6875
2,5,0.517069597069597,0.46168323841065284,0.7538461538461538
3,5,0.4524053724053724,0.37313534609893495,0.6923076923076923
4,5,0.48065934065934063,0.37971148247094916,0.6615384615384615
