Task, StreamingStep, RR, nDCG, Success
0,0,0.564489417989418,0.6177373518672029,0.8133333333333334
1,1,0.5773148148148147,0.6107835464117688,0.7333333333333333
0,1,0.5568756613756614,0.6018749498542024,0.7866666666666666
2,2,0.47994708994708996,0.5227866416014207,0.6666666666666666
0,2,0.540531746031746,0.5870261075862095,0.7733333333333333
1,2,0.5629629629629629,0.5992629520720598,0.7333333333333333
3,3,0.6764367816091954,0.6952388825926469,0.8275862068965517
0,3,0.5270767195767196,0.575460370878907,0.7666666666666667
1,3,0.5364814814814813,0.5755757225116457,0.7
2,3,0.45814814814814814,0.5010575716326823,0.6333333333333333
4,4,0.5570370370370371,0.5994294694232082,0.7333333333333333
0,4,0.5221534391534391,0.5686109810012964,0.7533333333333333
1,4,0.5353703703703704,0.5745542018407619,0.7
2,4,0.43870370370370365,0.48644444868751063,0.6333333333333333
3,4,0.6663793103448276,0.687148924967868,0.8275862068965517
5,5,0.6989285714285713,0.7343229658971457,0.9333333333333333
0,5,0.5042142857142857,0.5503387326939614,0.7333333333333333
1,5,0.5353703703703704,0.5745542018407619,0.7
2,5,0.4333333333333333,0.47494932380408283,0.6
3,5,0.6626847290640394,0.6837922620457969,0.8275862068965517
4,5,0.5483333333333333,0.5923555239284028,0.7333333333333333
