Task, StreamingStep, RR, nDCG, Success
0,0,0.5781249999999999,0.29152864641864495,0.8333333333333334
0,0,0.5781249999999999,0.29152864641864495,0.8333333333333334
1,1,0.13999999999999999,0.14496589631231363,0.4
0,1,0.5522486772486773,0.277771773861034,0.8333333333333334
1,1,0.13999999999999999,0.14496589631231363,0.4
0,1,0.5522486772486773,0.277771773861034,0.8333333333333334
2,2,0.65,0.3327188224804402,0.8
0,2,0.5209986772486772,0.2608458330011048,0.8333333333333334
1,2,0.13999999999999999,0.1336633693665048,0.4
3,3,0.65,0.2867476345797468,0.8
0,3,0.5083829365079365,0.24542246814953197,0.8333333333333334
1,3,0.13999999999999999,0.12041252467562699,0.4
2,3,0.6285714285714286,0.3262481793166052,0.8
4,4,0.4333333333333333,0.21882638347825645,0.8
0,4,0.47256944444444443,0.236793042006984,0.7916666666666666
1,4,0.13999999999999999,0.12041252467562699,0.4
2,4,0.625,0.32429955253652354,0.8
3,4,0.65,0.2867476345797468,0.8
5,5,0.5666666666666667,0.40695564485590385,0.8
0,5,0.4322916666666667,0.22023967035471184,0.75
1,5,0.12857142857142856,0.11805668556717482,0.4
2,5,0.625,0.32429955253652354,0.8
3,5,0.64,0.2833966455051666,0.8
4,5,0.4333333333333333,0.1859626152766056,0.8
