Task, StreamingStep, RR, nDCG, Success
0,0,0.71,0.5707375235150591,0.96
1,1,0.8222222222222222,0.557247421588144,1.0
0,1,0.6973333333333334,0.5522602494814135,0.96
2,2,0.9,0.5955075415976376,1.0
0,2,0.6973333333333334,0.5457184220171141,0.92
1,2,0.8,0.518021574566598,0.8
3,3,0.9,0.5352541677495835,1.0
0,3,0.693047619047619,0.5376602695589604,0.92
1,3,0.8,0.518021574566598,0.8
2,3,0.9,0.5758972182584791,1.0
4,4,0.6,0.34281446721151,1.0
0,4,0.6850476190476189,0.5221434516173553,0.92
1,4,0.6,0.43385539126240136,0.8
2,4,0.9,0.5758972182584791,1.0
3,4,0.9,0.5270210708354577,1.0
5,5,0.64,0.5686530650461386,1.0
0,5,0.6829999999999999,0.5134031360477451,0.92
1,5,0.6,0.43385539126240136,0.8
2,5,0.9,0.5758972182584791,1.0
3,5,0.9,0.5131348264481023,1.0
4,5,0.6,0.3300903095717197,1.0
0,0,0.71,0.5707375235150591,0.96
1,1,0.8222222222222222,0.557247421588144,1.0
0,1,0.6973333333333334,0.5522602494814135,0.96
2,2,0.9,0.5955075415976376,1.0
0,2,0.6973333333333334,0.5457184220171141,0.92
1,2,0.8,0.518021574566598,0.8
3,3,0.9,0.5352541677495835,1.0
0,3,0.693047619047619,0.5376602695589604,0.92
1,3,0.8,0.518021574566598,0.8
2,3,0.9,0.5758972182584791,1.0
4,4,0.6,0.34281446721151,1.0
0,4,0.6850476190476189,0.5221434516173553,0.92
1,4,0.6,0.43385539126240136,0.8
2,4,0.9,0.5758972182584791,1.0
3,4,0.9,0.5270210708354577,1.0
5,5,0.64,0.5686530650461386,1.0
0,5,0.6829999999999999,0.5134031360477451,0.92
1,5,0.6,0.43385539126240136,0.8
2,5,0.9,0.5758972182584791,1.0
3,5,0.9,0.5131348264481023,1.0
4,5,0.6,0.3300903095717197,1.0
