Task, StreamingStep, RR, nDCG, Success
0,0,0.37698185941043066,0.46744776124662857,0.7471428571428571
1,1,0.3236734693877551,0.4002748191484795,0.6785714285714286
0,1,0.3440714285714284,0.43655366833809434,0.72
2,2,0.2792890915231342,0.3785127801008977,0.6808510638297872
0,2,0.30429535147392295,0.4025958607710701,0.7057142857142857
1,2,0.2883390022675738,0.3707794013301288,0.6642857142857143
3,3,0.24390589569161,0.3365481932180903,0.6428571428571429
0,3,0.2731490929705217,0.37268141370088115,0.6785714285714286
1,3,0.2607568027210885,0.3429859943349749,0.6357142857142857
2,3,0.26369751210176756,0.3613817258486866,0.6595744680851063
4,4,0.22634070294784575,0.33185304168572943,0.6571428571428571
0,4,0.25013945578231306,0.34958978474274527,0.6585714285714286
1,4,0.23182256235827658,0.32218286294880416,0.6285714285714286
2,4,0.23903242147923004,0.33577186710417617,0.6312056737588653
3,4,0.23226757369614504,0.32279170240296345,0.6214285714285714
5,5,0.20280045351473913,0.3094583028154745,0.6428571428571429
0,5,0.2194846938775511,0.3243137158907511,0.6485714285714286
1,5,0.2057397959183673,0.30429540838543384,0.6285714285714286
2,5,0.1948440842057863,0.29267358427248097,0.5957446808510638
3,5,0.21076814058956916,0.30712024425987716,0.6214285714285714
4,5,0.2063350340136054,0.31178120878702636,0.6428571428571429
