Task, StreamingStep, RR, nDCG, Success
0,0,0.4566419263178523,0.38692763540002456,0.654320987654321
1,1,0.3610739087301587,0.2678688546493467,0.546875
0,1,0.4528561630413481,0.3811037977843151,0.6450617283950617
2,2,0.5046581196581197,0.42882803960974974,0.6615384615384615
0,2,0.44128086419753065,0.36623913902344635,0.6327160493827161
1,2,0.3460441468253968,0.2573071857292471,0.546875
3,3,0.35507936507936505,0.2864192084573881,0.5384615384615384
0,3,0.41303644914756027,0.3480503685690979,0.6111111111111112
1,3,0.33449900793650794,0.25504812068798904,0.53125
2,3,0.4973687423687424,0.41325794401403276,0.6307692307692307
4,4,0.4275824175824175,0.32899005092727357,0.6461538461538462
0,4,0.41303644914756027,0.34324768412055945,0.5895061728395061
1,4,0.3299417162698412,0.2439366389157481,0.515625
2,4,0.5025396825396825,0.4145355751971545,0.6307692307692307
3,4,0.35507936507936505,0.27583983385703076,0.49230769230769234
5,5,0.44886446886446885,0.35236575692007965,0.6153846153846154
0,5,0.40616794042719984,0.33684956649763764,0.5864197530864198
1,5,0.2952442956349206,0.226357429059644,0.484375
2,5,0.4728205128205128,0.39440067600157164,0.6307692307692307
3,5,0.33775335775335774,0.2754437006100941,0.5076923076923077
4,5,0.42439560439560436,0.31967461022865473,0.6307692307692307
