Task, StreamingStep, RR, nDCG, Success
0,0,0.5947681866331633,0.49932527294416873,0.768235902741852
1,1,0.5827119478282271,0.5005937116469883,0.7700258397932817
0,1,0.5800813358625054,0.484272039802133,0.7553026383859286
2,2,0.6020743611828882,0.5023395906604566,0.7984496124031008
0,2,0.5630289294541759,0.46960534226354367,0.7423693740300051
1,2,0.5696351667281903,0.4856939204444764,0.7441860465116279
3,3,0.5647840531561462,0.46862188821178646,0.751937984496124
0,3,0.5567562962415531,0.46602078167368305,0.7361614071391619
1,3,0.5578073089700998,0.4790746343392693,0.7545219638242894
2,3,0.5999600098437308,0.5057309610205799,0.8113695090439277
4,4,0.5178192034781183,0.44916060961537485,0.7467700258397932
0,4,0.5474585109091062,0.4577127267411017,0.735644076564925
1,4,0.5484803740617693,0.4732172658466034,0.7441860465116279
2,4,0.5779192814076534,0.4905955076748947,0.7932816537467701
3,4,0.5506706041589763,0.44974086426850424,0.7260981912144703
5,5,0.5604220499569337,0.4732195122645055,0.7441860465116279
0,5,0.5328714310349084,0.44425357589901804,0.71960682876358
1,5,0.5385494852549116,0.45847619016378705,0.7390180878552972
2,5,0.5556591198064066,0.4703676683178421,0.7803617571059431
3,5,0.5334256183093394,0.4377945598311641,0.7209302325581395
4,5,0.5081149255567858,0.4317230132462277,0.7312661498708011
