Task, StreamingStep, RR, nDCG, Success
0,0,0.6573148148148148,0.68736840941015,0.8133333333333334
1,1,0.6333333333333334,0.6468952576609223,0.7
0,1,0.641962962962963,0.6709652685837503,0.7933333333333333
2,2,0.5714814814814815,0.6060657716350729,0.7333333333333333
0,2,0.6260079365079365,0.658628760820319,0.7933333333333333
1,2,0.6297619047619047,0.6438220144708791,0.7
3,3,0.6782977558839628,0.7064635729845992,0.8620689655172413
0,3,0.6319867724867726,0.6618682878532418,0.7933333333333333
1,3,0.627037037037037,0.6412844448539389,0.7
2,3,0.5858730158730159,0.6147684426141097,0.7333333333333333
4,4,0.6755555555555556,0.7060618029010753,0.8
0,4,0.6112566137566139,0.6415708001264188,0.78
1,4,0.6108333333333333,0.629463266010379,0.7
2,4,0.5538888888888888,0.581262628229837,0.7
3,4,0.6722222222222222,0.7027840086816671,0.8620689655172413
5,5,0.7114285714285714,0.7330508338383077,0.8666666666666667
0,5,0.6078015873015873,0.638703924683626,0.78
1,5,0.6097222222222222,0.6284417453394952,0.7
2,5,0.5353174603174603,0.5671763042188454,0.7
3,5,0.6831417624521072,0.6982290472087852,0.8275862068965517
4,5,0.6555555555555556,0.6841239671428611,0.7666666666666667
