Task, StreamingStep, RR, nDCG, Success
0,0,0.347703960328782,0.43977212530122073,0.7275320970042796
1,1,0.31955215419501154,0.4195052349297934,0.7214285714285714
0,1,0.30251454837760094,0.3974391875631273,0.6904422253922967
2,2,0.291575963718821,0.39084333980362584,0.7285714285714285
0,2,0.2728341598170412,0.36829875356445846,0.6633380884450785
1,2,0.2908475056689343,0.39773492703813784,0.7142857142857143
3,3,0.2211763038548752,0.31311674611963614,0.5928571428571429
0,3,0.24410819011389598,0.34140324255309856,0.6433666191155493
1,3,0.25971938775510206,0.3700013448171471,0.6928571428571428
2,3,0.26171768707483,0.36022526888985884,0.7
4,4,0.2703844421929529,0.38009674944393257,0.7163120567375887
0,4,0.2231817358422206,0.3198090388155624,0.6219686162624821
1,4,0.23913265306122444,0.34896716092401514,0.6714285714285714
2,4,0.23482709750566885,0.33638181807444756,0.6785714285714286
3,4,0.20487528344671196,0.29268040929341926,0.5571428571428572
5,5,0.2171634121274408,0.31933215226421313,0.6474820143884892
0,5,0.20230453094219128,0.30038893234565517,0.6077032810271041
1,5,0.21514455782312916,0.32409067780609135,0.65
2,5,0.2175368480725623,0.3205698175529111,0.6642857142857143
3,5,0.19386054421768703,0.28570355994935437,0.5642857142857143
4,5,0.23490374873353592,0.3527111988954553,0.7163120567375887
