Task, StreamingStep, RR, nDCG, Success
0,0,0.4476239466980208,0.3673408181530634,0.6450617283950617
1,1,0.4638578869047619,0.3811623498012008,0.65625
0,1,0.44119513031550067,0.359301173494604,0.6327160493827161
2,2,0.42734432234432235,0.3415222695559077,0.5846153846153846
0,2,0.42450886733294113,0.3468546340816088,0.6172839506172839
1,2,0.45463789682539685,0.3695743248594583,0.65625
3,3,0.40476190476190477,0.3230974863037982,0.5076923076923077
0,3,0.40571477562218283,0.3267406526456823,0.5864197530864198
1,3,0.44430803571428573,0.36043621824162697,0.65625
2,3,0.42065934065934063,0.3414190715108205,0.5846153846153846
4,4,0.40531746031746035,0.33564859493816435,0.6
0,4,0.3955749069174994,0.3189450201449293,0.5833333333333334
1,4,0.4210379464285714,0.34028671529931576,0.59375
2,4,0.4160866910866911,0.3368734801530731,0.5846153846153846
3,4,0.4031379731379731,0.3182056912623727,0.5076923076923077
5,5,0.3386324786324786,0.26144037273885784,0.5076923076923077
0,5,0.3930494317068391,0.31477173097481687,0.5740740740740741
1,5,0.4077628968253968,0.33373746538592686,0.59375
2,5,0.4076923076923077,0.3282494634013369,0.5846153846153846
3,5,0.3927533577533578,0.3131069941029531,0.5076923076923077
4,5,0.3937362637362637,0.32553351012452325,0.6
