Task, StreamingStep, RR, nDCG, Success
0,0,0.572988364167878,0.46751887361264044,0.7299534402483187
1,1,0.5338757639145237,0.44574160275200775,0.689922480620155
0,1,0.5553229620870599,0.45043838905950856,0.7149508535954475
2,2,0.6060467167056314,0.5100471195172894,0.8010335917312662
0,2,0.5706607871636331,0.4728203187267813,0.7449560269011899
1,2,0.5698320413436694,0.48403814670413253,0.7545219638242894
3,3,0.5596868463147534,0.4527762988235861,0.7260981912144703
0,3,0.5556259699948276,0.4590292184697586,0.7304707708225556
1,3,0.5531479430704238,0.46934479788553396,0.7493540051679587
2,3,0.58477502973627,0.4911600925515123,0.7829457364341085
4,4,0.5138222386284401,0.433681965884722,0.7080103359173127
0,4,0.5443118271623194,0.44805812963492464,0.719089498189343
1,4,0.5458061605348428,0.4625833724212493,0.7441860465116279
2,4,0.5698607522250932,0.4788242823017979,0.7777777777777778
3,4,0.5484865263935031,0.4441598796700882,0.7157622739018088
5,5,0.557946761822731,0.4681082303389233,0.7286821705426356
0,5,0.5318924034521562,0.43744254252254944,0.7087428867046043
1,5,0.5373118411878103,0.45384451174732615,0.7338501291989664
2,5,0.5589639473360403,0.46728197000686267,0.7622739018087855
3,5,0.5299208399983594,0.4292851699549656,0.7080103359173127
4,5,0.5043240638201879,0.42330325562288834,0.6950904392764858
