Task, StreamingStep, RR, nDCG, Success
0,0,0.6645833333333333,0.39236672868470374,0.9166666666666666
1,1,0.8,0.32862253477094366,1.0
0,1,0.6437499999999999,0.37756726177562466,0.9166666666666666
2,2,0.6333333333333334,0.24246756393751562,1.0
0,2,0.6020833333333333,0.3650030288620094,0.9166666666666666
1,2,0.7,0.2989867781014184,1.0
3,3,0.75,0.4886407705008301,1.0
0,3,0.5930555555555556,0.35253285624489455,0.9166666666666666
1,3,0.7,0.2984600910503309,1.0
2,3,0.625,0.228320014542448,1.0
4,4,0.6666666666666667,0.2931601971720427,1.0
0,4,0.5881944444444444,0.3481156215042763,0.9166666666666666
1,4,0.6666666666666666,0.2854903675357919,1.0
2,4,0.62,0.2277389711686654,1.0
3,4,0.75,0.4427597496417547,1.0
5,5,0.5,0.2251505333340952,0.6
0,5,0.5649801587301587,0.33717623445674705,0.9166666666666666
1,5,0.6333333333333333,0.24482127326622988,1.0
2,5,0.62,0.2277389711686654,1.0
3,5,0.75,0.44088409285807806,1.0
4,5,0.6666666666666667,0.2772377830125892,1.0
