Task, StreamingStep, RR, nDCG, Success
0,0,0.3221047074051365,0.4207107152770749,0.7310443490701002
1,1,0.2984268707482994,0.3930102551343205,0.7
0,1,0.2862167041351589,0.38545264269408347,0.6952789699570815
2,2,0.30443543847799165,0.388331215024327,0.6879432624113475
0,2,0.25920192111179224,0.35915239750288297,0.670958512160229
1,2,0.2696570294784581,0.36601132598103847,0.6785714285714286
3,3,0.2367648738152335,0.34170429875058483,0.6618705035971223
0,3,0.23980289302177696,0.33901282188303083,0.6437768240343348
1,3,0.24562358276643984,0.3431856400100305,0.6714285714285714
2,3,0.27330293819655516,0.356748837954398,0.6595744680851063
4,4,0.21025272993358093,0.300062486404123,0.5886524822695035
0,4,0.20988089561050935,0.3090517398790165,0.6137339055793991
1,4,0.226329365079365,0.32495330133193373,0.6571428571428571
2,4,0.23489530563998648,0.32285660938764704,0.624113475177305
3,4,0.22365250656617558,0.3229545765060278,0.6258992805755396
5,5,0.1889592480018011,0.2851633361115604,0.5957446808510638
0,5,0.18761212162499716,0.2860550079680855,0.5937052932761088
1,5,0.20014455782312918,0.3090952784812435,0.6571428571428571
2,5,0.2042693909715186,0.29652143735902353,0.6028368794326241
3,5,0.19779890373415543,0.29828117722111197,0.60431654676259
4,5,0.18973319824383644,0.28314339415203793,0.5815602836879432
