Task, StreamingStep, RR, nDCG, Success
0,0,0.3400442678260082,0.43550915510438215,0.7375178316690443
1,1,0.32261337868480716,0.4007915091440027,0.6571428571428571
0,1,0.3183394470484342,0.41624919711052494,0.7261055634807418
2,2,0.2553061224489795,0.37236125409360943,0.7428571428571429
0,2,0.3050557027375857,0.4023318044090331,0.7089871611982882
1,2,0.309954648526077,0.3890202270699988,0.6428571428571429
3,3,0.36013342535081666,0.45851494240975743,0.782608695652174
0,3,0.2859226048955007,0.38334667689048385,0.6890156918687589
1,3,0.2992233560090703,0.38083666080400225,0.6428571428571429
2,3,0.25381519274376413,0.3709259904607553,0.7428571428571429
4,4,0.24162195394589758,0.31542903076466977,0.5774647887323944
0,4,0.26768844960713717,0.36748799982049035,0.68188302425107
1,4,0.2835090702947846,0.3705712714432999,0.6428571428571429
2,4,0.24413265306122445,0.3594465385774086,0.7285714285714285
3,4,0.341632160110421,0.44442996234349247,0.782608695652174
5,5,0.2548979591836735,0.33659134948774916,0.6
0,5,0.25101612209315494,0.350393431650839,0.6633380884450785
1,5,0.26763605442176874,0.35520337769862254,0.6285714285714286
2,5,0.22368480725623577,0.34249869620177265,0.7142857142857143
3,5,0.3211410167931907,0.4297709763548047,0.782608695652174
4,5,0.24124748490945672,0.3149456516710476,0.5774647887323944
6,6,0.2226530612244898,0.31035761112338134,0.5285714285714286
0,6,0.23900153975046984,0.33760611840696936,0.6504992867332382
1,6,0.26265306122448984,0.350922507573475,0.6285714285714286
2,6,0.1952551020408163,0.3075633826056915,0.6571428571428571
3,6,0.2959454796411318,0.40282373838061264,0.7681159420289855
4,6,0.22330091661077572,0.2983772620343809,0.5633802816901409
5,6,0.22696145124716552,0.31245159889174384,0.5857142857142857
7,7,0.2451207243460764,0.3657180191582791,0.7183098591549296
0,7,0.22959151325770433,0.32625287885222626,0.6333808844507846
1,7,0.2500340136054422,0.341154938223373,0.6285714285714286
2,7,0.19680272108843533,0.312467191315222,0.6857142857142857
3,7,0.2839659535311708,0.3928060480986463,0.7681159420289855
4,7,0.20500782472613452,0.2842128031476632,0.5633802816901409
5,7,0.2169614512471655,0.30127496106273693,0.5714285714285714
6,7,0.21265873015873016,0.3026473790721501,0.5285714285714286
8,8,0.22674603174603178,0.3444122387228969,0.7142857142857143
0,8,0.21866324751488794,0.31580482526268405,0.6219686162624821
1,8,0.23705782312925175,0.3301494824214901,0.6142857142857143
2,8,0.17213151927437645,0.28065645109877074,0.6285714285714286
3,8,0.2743501265240395,0.38400873317236023,0.7681159420289855
4,8,0.1835624860272747,0.26562731531750167,0.5492957746478874
5,8,0.20543083900226758,0.2901961469463988,0.5571428571428572
6,8,0.1972789115646259,0.2855653724294079,0.5142857142857142
7,8,0.24017437961099924,0.35431760457526823,0.6901408450704225
9,9,0.17645502645502642,0.27496668586339335,0.5942028985507246
0,9,0.20493795711342055,0.302155798688031,0.6105563480741797
1,9,0.23277210884353738,0.3234444198518689,0.6
2,9,0.162891156462585,0.27259064145107487,0.6285714285714286
3,9,0.2559523809523809,0.3602314309367797,0.7246376811594203
4,9,0.16836575005589086,0.2604044901732951,0.5633802816901409
5,9,0.19424036281179136,0.2811259818968545,0.5571428571428572
6,9,0.19370748299319732,0.2797459731705206,0.5
7,9,0.23903979432148442,0.35583821413202127,0.704225352112676
8,9,0.21857142857142856,0.331328882923293,0.6857142857142857
10,10,0.1872789115646258,0.28239975510556864,0.5857142857142857
0,10,0.19147080134954592,0.2909560026217884,0.6062767475035663
1,10,0.21542517006802722,0.3055397353772592,0.5857142857142857
2,10,0.1530102040816326,0.25811670343240817,0.6
3,10,0.24075799401886347,0.34753620537795976,0.7101449275362319
4,10,0.1604404202995752,0.2489272181405747,0.5492957746478874
5,10,0.17265306122448978,0.2579381067297983,0.5285714285714286
6,10,0.17848639455782314,0.2639689769692233,0.5
7,10,0.23458528951486698,0.34943676430254833,0.6901408450704225
8,10,0.2116836734693877,0.32860150673942584,0.7
9,10,0.1689095928226363,0.2671914065697997,0.5797101449275363
