Task, StreamingStep, RR, nDCG, Success
0,0,0.46765628061924347,0.3779300421980463,0.6574074074074074
1,1,0.4724330357142857,0.38544134999588464,0.625
0,1,0.447446355085244,0.35738994547695496,0.6234567901234568
2,2,0.42630036630036616,0.3578494208222356,0.676923076923077
0,2,0.446384479717813,0.3518701848560789,0.6080246913580247
1,2,0.4749131944444444,0.3769729167612901,0.578125
3,3,0.2753174603174603,0.24837958754369122,0.49230769230769234
0,3,0.4270955810307661,0.33594233618541847,0.595679012345679
1,3,0.44288194444444445,0.3553051049662733,0.578125
2,3,0.42083028083028073,0.3476452758160464,0.6461538461538462
4,4,0.36108669108669106,0.33377905385100287,0.5692307692307692
0,4,0.4160812267293748,0.32933517581243177,0.5740740740740741
1,4,0.43476562499999993,0.3499612627766444,0.578125
2,4,0.4138644688644688,0.33559541003089005,0.6461538461538462
3,4,0.2576862026862026,0.24316736088172639,0.49230769230769234
5,5,0.36989010989010984,0.2841299217673321,0.5230769230769231
0,5,0.4050631981187537,0.3167711736406463,0.5709876543209876
1,5,0.42439236111111106,0.339535923474268,0.5625
2,5,0.39149572649572645,0.3140606687363323,0.6153846153846154
3,5,0.23830891330891327,0.22286370134379518,0.4461538461538462
4,5,0.3567948717948718,0.33033370066943485,0.5692307692307692
