Task, StreamingStep, RR, nDCG, Success
0,0,0.47375808348030574,0.39026018996146095,0.6666666666666666
1,1,0.4124503968253968,0.3206524986207224,0.5625
0,1,0.4651136586321771,0.38157559422549303,0.6635802469135802
2,2,0.5183531746031745,0.4189645541032219,0.625
0,2,0.45191798941798944,0.3719513830224397,0.654320987654321
1,2,0.38567708333333334,0.30026011044548073,0.53125
3,3,0.328030303030303,0.29335533951460824,0.5151515151515151
0,3,0.4423255927885558,0.3603472955589319,0.6265432098765432
1,3,0.3716145833333333,0.29125166188071183,0.53125
2,3,0.5166666666666666,0.4166711813490637,0.625
4,4,0.5109747023809523,0.40170701246130924,0.65625
0,4,0.4406464334705075,0.3581080144376174,0.6296296296296297
1,4,0.37265625,0.28954623543857966,0.53125
2,4,0.5170138888888889,0.4188576254575944,0.65625
3,4,0.3224747474747474,0.28414157890311037,0.5151515151515151
5,5,0.43872053872053873,0.39124666014404014,0.6666666666666666
0,5,0.4302971291397218,0.3512322363363513,0.6234567901234568
1,5,0.3684895833333333,0.2799257634926728,0.5
2,5,0.5026041666666666,0.3991910236927481,0.5625
3,5,0.2965848965848966,0.2620227950028068,0.48484848484848486
4,5,0.5049479166666666,0.39398118317606173,0.65625
6,6,0.35238095238095235,0.2855859422054496,0.53125
0,6,0.4209362139917696,0.34163995153618243,0.6049382716049383
1,6,0.3693080357142857,0.28813704802719914,0.53125
2,6,0.5010416666666666,0.3933246565086977,0.5625
3,6,0.30163540163540165,0.27054249105897016,0.5151515151515151
4,6,0.5210937499999999,0.38969019490095563,0.65625
5,6,0.46565656565656566,0.4124275693663437,0.6666666666666666
7,7,0.33368055555555554,0.2729621212768496,0.625
0,7,0.4155790711346267,0.3368646545534118,0.6080246913580247
1,7,0.3651909722222222,0.27809371894181995,0.5
2,7,0.5052083333333333,0.3890878631179872,0.5625
3,7,0.30247715247715246,0.27563132622222747,0.5151515151515151
4,7,0.4677083333333333,0.3532696628443718,0.625
5,7,0.4631313131313131,0.40942101527555097,0.6666666666666666
6,7,0.36640625,0.28854786895908296,0.53125
8,8,0.32786195286195285,0.27986848797747604,0.48484848484848486
0,8,0.4070105820105821,0.3305751730413647,0.5925925925925926
1,8,0.3636284722222222,0.2777923049815721,0.5
2,8,0.5104166666666667,0.4025740783749115,0.5625
3,8,0.3066859066859067,0.280484260164992,0.5151515151515151
4,8,0.4862847222222222,0.36369751423928764,0.625
5,8,0.4454545454545455,0.39559522205995407,0.6666666666666666
6,8,0.3580729166666667,0.28015612428736836,0.46875
7,8,0.3232638888888889,0.2684952468575211,0.625
9,9,0.3333333333333333,0.26108467574697203,0.5
0,9,0.40623775230256715,0.327918326609276,0.5925925925925926
1,9,0.36319444444444443,0.2790927246184748,0.5
2,9,0.4895833333333333,0.3833444596267129,0.5625
3,9,0.30483405483405485,0.2763284380588569,0.5151515151515151
4,9,0.46388888888888885,0.3624920813418474,0.625
5,9,0.44671717171717173,0.39573833567499,0.6666666666666666
6,9,0.3602430555555555,0.2821261318720961,0.5
7,9,0.3284722222222222,0.2685442657854544,0.625
8,9,0.32962962962962966,0.2758133819631054,0.48484848484848486
10,10,0.2637566137566137,0.22413950388359588,0.45454545454545453
0,10,0.4006907701352146,0.3217188560752271,0.5802469135802469
1,10,0.36140873015873015,0.2786253435552045,0.5
2,10,0.48697916666666663,0.3873994972763204,0.5625
3,10,0.29301346801346795,0.26727697006213086,0.5151515151515151
4,10,0.436235119047619,0.3427589385411692,0.625
5,10,0.4580808080808081,0.40079426162798115,0.6363636363636364
6,10,0.3560267857142857,0.27302961362822353,0.46875
7,10,0.3251240079365079,0.2671181084511829,0.625
8,10,0.32407407407407407,0.2661492339259689,0.45454545454545453
9,10,0.33177083333333335,0.2597746013565132,0.5
