Task, StreamingStep, RR, nDCG, Success
0,0,0.5748710779362624,0.49535388098546107,0.7563372995344024
1,1,0.545248349124318,0.47769507017320795,0.7622739018087855
0,1,0.5519709884298613,0.4723761685438397,0.7299534402483187
2,2,0.5453344817685903,0.4623838035012059,0.7131782945736435
0,2,0.536303878336988,0.4559330017378928,0.7170201758923952
1,2,0.5309575078954926,0.46050904268559384,0.7441860465116279
3,3,0.5181862926048973,0.43386423344567987,0.7157622739018088
0,3,0.5216523374309204,0.44268918572162264,0.702534919813761
1,3,0.5059359747344245,0.437964014591829,0.7157622739018088
2,3,0.5330851892867396,0.45400840566163225,0.7131782945736435
4,4,0.4839690742791517,0.4062873967134227,0.6873385012919897
0,4,0.5123056930997965,0.43325444751663966,0.6916709777547853
1,4,0.4960409745293466,0.4271775627915536,0.7080103359173127
2,4,0.5187912718920471,0.44053904554670587,0.7002583979328165
3,4,0.5035170829744473,0.4181317880930589,0.689922480620155
5,5,0.5052499897461137,0.42791636672241334,0.6976744186046512
0,5,0.499112737007202,0.4212038759759708,0.6823590274185204
1,5,0.4871805914441572,0.41650044314033086,0.6976744186046512
2,5,0.5079652188179319,0.4291545633783001,0.6873385012919897
3,5,0.48911549977441454,0.4135200826744513,0.6976744186046512
4,5,0.46640211640211626,0.3942248692410172,0.6666666666666666
