Task, StreamingStep, RR, nDCG, Success
0,0,0.6878412698412698,0.7240331578196542,0.8533333333333334
1,1,0.6311507936507936,0.6709330376554684,0.8
0,1,0.6850714285714286,0.7177491405467988,0.84
2,2,0.6694444444444444,0.7103534253155749,0.8333333333333334
0,2,0.6670264550264551,0.7023773319757538,0.8333333333333334
1,2,0.6136507936507936,0.6499183141391651,0.7666666666666667
3,3,0.7166666666666667,0.74172458582198,0.8620689655172413
0,3,0.6590820105820105,0.6958173296608376,0.8333333333333334
1,3,0.6084656084656085,0.637922511271192,0.7333333333333333
2,3,0.6777777777777777,0.7159806603465909,0.8333333333333334
4,4,0.5932275132275132,0.6511386170636606,0.8666666666666667
0,4,0.6571719576719576,0.6903061149469448,0.8133333333333334
1,4,0.6136507936507937,0.642427567973145,0.7333333333333333
2,4,0.6673015873015873,0.7067410596092889,0.8333333333333334
3,4,0.7089490968801314,0.7336859322921282,0.8620689655172413
5,5,0.6699074074074074,0.7315137091690088,0.9666666666666667
0,5,0.6381534391534391,0.6742451743180802,0.8066666666666666
1,5,0.6097222222222222,0.6257914908558012,0.7
2,5,0.666984126984127,0.7064820007308944,0.8333333333333334
3,5,0.6977011494252873,0.7246143809737886,0.8620689655172413
4,5,0.5620238095238096,0.6238706500882657,0.8333333333333334
