Task, StreamingStep, RR, nDCG, Success
0,0,0.6659603174603174,0.6978579686224038,0.82
1,1,0.6157407407407407,0.6244423705974059,0.7333333333333333
0,1,0.6627724867724866,0.6937842913197388,0.82
2,2,0.7111111111111111,0.7303069949445766,0.8
0,2,0.6622989417989418,0.6937970337264653,0.8266666666666667
1,2,0.6157407407407407,0.6231761225296703,0.7333333333333333
3,3,0.6444444444444445,0.7136464829289526,0.9333333333333333
0,3,0.6637275132275131,0.6945050985800117,0.8266666666666667
1,3,0.5816666666666667,0.5977737614780279,0.7333333333333333
2,3,0.7111111111111111,0.7303069949445766,0.8
4,4,0.5777777777777778,0.631618258757264,0.8
0,4,0.6579867724867723,0.6881107007299153,0.82
1,4,0.5814814814814814,0.5960416638400441,0.7333333333333333
2,4,0.7111111111111111,0.7303069949445766,0.8
3,4,0.6133333333333333,0.6910848411754844,0.9333333333333333
5,5,0.755,0.7720186140567875,0.8666666666666667
0,5,0.6535529100529099,0.6842863085270925,0.8133333333333334
1,5,0.5740740740740741,0.5759729974624453,0.6666666666666666
2,5,0.7111111111111111,0.7303069949445766,0.8
3,5,0.6061904761904761,0.6845952928594804,0.9333333333333333
4,5,0.5777777777777778,0.631618258757264,0.8
6,6,0.5734126984126983,0.6636468544770107,1.0
0,6,0.6448042328042327,0.6755934138964643,0.8
1,6,0.5740740740740741,0.5775404476487188,0.6666666666666666
2,6,0.7095238095238094,0.7287820713595974,0.8
3,6,0.605,0.6834040624229735,0.9333333333333333
4,6,0.5761904761904763,0.6300933351722847,0.8
5,6,0.7527777777777778,0.7699755727150195,0.8666666666666667
7,7,0.5877777777777777,0.6638522570963307,0.8666666666666667
0,7,0.6445978835978835,0.6750511986973676,0.8
1,7,0.575,0.5785027730568353,0.6666666666666666
2,7,0.7095238095238094,0.7287820713595974,0.8
3,7,0.605,0.6834040624229735,0.9333333333333333
4,7,0.5761904761904763,0.6300933351722847,0.8
5,7,0.7518518518518518,0.7693855255925061,0.8666666666666667
6,7,0.5640476190476189,0.6554573267551564,1.0
8,8,0.75,0.7857850412693763,0.8666666666666667
0,8,0.634968253968254,0.6678474927218684,0.8
1,8,0.5666666666666667,0.5567788629502636,0.6
2,8,0.7095238095238094,0.7287820713595974,0.8
3,8,0.6024867724867724,0.6809168134298776,0.9333333333333333
4,8,0.5761904761904763,0.6300933351722847,0.8
5,8,0.7511111111111111,0.7688964315928046,0.8666666666666667
6,8,0.5528571428571428,0.6320735245082002,0.9333333333333333
7,8,0.5827777777777778,0.6586787204836226,0.8666666666666667
9,9,0.7555555555555554,0.784123967142861,0.8666666666666667
0,9,0.6341084656084656,0.6658288491938575,0.7933333333333333
1,9,0.5666666666666667,0.5542205279419659,0.6
2,9,0.7083333333333334,0.7275908409230903,0.8
3,9,0.6117460317460317,0.7023117072839208,1.0
4,9,0.5650793650793652,0.6213646849341875,0.8
5,9,0.7511111111111111,0.7688964315928046,0.8666666666666667
6,9,0.5823809523809522,0.653110242676689,0.9333333333333333
7,9,0.5805555555555555,0.6443306326898834,0.8666666666666667
8,9,0.7466666666666666,0.7830809152052611,0.8666666666666667
10,10,0.76,0.8173895036765709,1.0
0,10,0.6275158730158731,0.6604394101283481,0.7933333333333333
1,10,0.5666666666666667,0.5574717812711201,0.6
2,10,0.6972222222222222,0.7188621906849931,0.8
3,10,0.6124867724867724,0.703109385240327,1.0
4,10,0.5650793650793652,0.6213646849341875,0.8
5,10,0.7466666666666666,0.7591235204823028,0.8
6,10,0.5345238095238095,0.6183837456515334,0.9333333333333333
7,10,0.5712962962962962,0.635687528529256,0.8666666666666667
8,10,0.7355555555555555,0.7743522649671639,0.8666666666666667
9,10,0.75,0.780211127766637,0.8666666666666667
