Task, StreamingStep, RR, nDCG, Success
0,0,0.6569444444444444,0.3892641524008404,1.0
1,1,0.5833333333333333,0.30220799296156625,1.0
0,1,0.6456018518518518,0.3711008661028721,1.0
2,2,0.7285714285714285,0.39459235957454997,1.0
0,2,0.6385416666666667,0.3599401923561674,0.9583333333333334
1,2,0.4685714285714285,0.26479481196285043,1.0
3,3,0.9,0.4597661568901258,1.0
0,3,0.642361111111111,0.3542073793010665,0.9166666666666666
1,3,0.4166666666666667,0.23950470584756783,0.8
2,3,0.6285714285714286,0.35260577843587876,1.0
4,4,0.47333333333333333,0.32611326259188217,1.0
0,4,0.6083333333333333,0.3433461419032547,0.9166666666666666
1,4,0.4166666666666667,0.23950470584756783,0.8
2,4,0.625,0.31985448692962226,1.0
3,4,0.9,0.4406965021384009,1.0
5,5,0.5333333333333333,0.2303106846776703,1.0
0,5,0.5944444444444444,0.3328558410840137,0.9166666666666666
1,5,0.3733333333333333,0.23536399245064432,0.8
2,5,0.6,0.2984965715711497,0.8
3,5,0.9,0.41000179480925214,1.0
4,5,0.4666666666666667,0.3139816159489789,1.0
