Task, StreamingStep, RR, nDCG, Success
0,0,0.8233333333333333,0.6183356034590459,1.0
1,1,0.8666666666666668,0.6748982960287206,1.0
0,1,0.8233333333333333,0.6132644546842144,1.0
2,2,0.6000000000000001,0.49419920273484613,1.0
0,2,0.8233333333333333,0.5971933133659324,1.0
1,2,0.8666666666666668,0.6752915660449789,1.0
3,3,1.0,0.7172597558626139,1.0
0,3,0.8233333333333333,0.5934342752864579,1.0
1,3,0.8666666666666668,0.6790165419829801,1.0
2,3,0.6000000000000001,0.49419920273484613,1.0
4,4,1.0,0.6894721160278996,1.0
0,4,0.8233333333333333,0.5934337219433773,1.0
1,4,0.85,0.6758330732185361,1.0
2,4,0.6000000000000001,0.492850233002257,1.0
3,4,1.0,0.7365337656798236,1.0
5,5,0.5285714285714286,0.4026544651372818,1.0
0,5,0.8233333333333333,0.5995853133426009,1.0
1,5,0.8,0.6434465710134718,0.8
2,5,0.5785714285714285,0.48819100032808693,1.0
3,5,1.0,0.7304367604699984,1.0
4,5,1.0,0.6894721160278996,1.0
