Task, StreamingStep, RR, nDCG, Success
0,0,0.848,0.5999265752930941,1.0
1,1,0.75,0.45054948728305433,1.0
0,1,0.8466666666666667,0.5970713633553782,1.0
2,2,1.0,0.7914995023811463,1.0
0,2,0.8446666666666667,0.5907762893365421,1.0
1,2,0.75,0.45054948728305433,1.0
3,3,0.3214285714285714,0.12739896239686255,1.0
0,3,0.8437142857142856,0.5878720778180851,1.0
1,3,0.75,0.4092854587683119,1.0
2,3,1.0,0.7891659367276107,1.0
4,4,0.8333333333333334,0.6622889255241352,1.0
0,4,0.837047619047619,0.5839662698731556,1.0
1,4,0.75,0.4092854587683119,1.0
2,4,1.0,0.7903508865017725,1.0
3,4,0.3214285714285714,0.12739896239686255,1.0
5,5,1.0,0.6382264977623768,1.0
0,5,0.837047619047619,0.5847166215070324,1.0
1,5,0.75,0.4092854587683119,1.0
2,5,1.0,0.7972663006964922,1.0
3,5,0.3333333333333333,0.12991613583652017,1.0
4,5,0.8333333333333334,0.661633475497038,1.0
6,6,0.5555555555555555,0.6111408807062211,1.0
0,6,0.8423809523809525,0.5907003728042036,1.0
1,6,0.75,0.4092854587683119,1.0
2,6,1.0,0.7960813509223303,1.0
3,6,0.3333333333333333,0.12991613583652017,1.0
4,6,0.8333333333333334,0.6512465549484037,1.0
5,6,1.0,0.6382264977623768,1.0
7,7,1.0,0.6836478700649589,1.0
0,7,0.837047619047619,0.5867966292058816,1.0
1,7,0.75,0.4083022837276662,1.0
2,7,1.0,0.8083086712722237,1.0
3,7,0.3214285714285714,0.12739896239686255,1.0
4,7,0.8333333333333334,0.659106870229203,1.0
5,7,1.0,0.6382264977623768,1.0
6,7,0.5555555555555555,0.6115797865821274,1.0
8,8,0.7083333333333334,0.5138884797934077,1.0
0,8,0.8170476190476191,0.5833367627537261,1.0
1,8,0.75,0.4083022837276662,1.0
2,8,1.0,0.8074308595204113,1.0
3,8,0.3214285714285714,0.12739896239686255,1.0
4,8,0.8333333333333334,0.6577959701750087,1.0
5,8,1.0,0.6382264977623768,1.0
6,8,0.5555555555555555,0.6115797865821274,1.0
7,8,1.0,0.6836478700649589,1.0
9,9,0.75,0.7106761297743491,1.0
0,9,0.8170476190476191,0.5771452740278039,1.0
1,9,0.75,0.4083022837276662,1.0
2,9,1.0,0.8074308595204113,1.0
3,9,0.35,0.133288560167993,1.0
4,9,0.8333333333333334,0.653522709801321,1.0
5,9,1.0,0.6382264977623768,1.0
6,9,0.5555555555555555,0.6111408807062211,1.0
7,9,1.0,0.6836478700649589,1.0
8,9,0.7083333333333334,0.5104677482450136,1.0
10,10,1.0,0.8531401621791561,1.0
0,10,0.8114285714285714,0.5839050624422619,1.0
1,10,0.75,0.4083022837276662,1.0
2,10,0.8333333333333334,0.7695697662700938,1.0
3,10,0.3333333333333333,0.12991613583652017,1.0
4,10,0.8333333333333334,0.6543617676145402,1.0
5,10,1.0,0.6337429742414278,1.0
6,10,0.5555555555555555,0.6102688865279331,1.0
7,10,1.0,0.6836478700649589,1.0
8,10,0.7142857142857143,0.5117786482992078,1.0
9,10,0.75,0.7119347164941778,1.0
