Task, StreamingStep, RR, nDCG, Success
0,0,0.3952499999999998,0.41776769148431825,0.5633333333333334
1,1,0.1408050372183135,0.150412307850975,0.17915774446823698
0,1,0.3645132275132275,0.3904562548129014,0.5366666666666666
2,2,0.3632042426023906,0.2704898983419697,0.566358024691358
0,2,0.36735582010582,0.3881278017012004,0.5333333333333333
1,2,0.18500560823901294,0.20200753415196046,0.25481798715203424
3,3,0.6530612244897959,0.18181587273943522,0.7346938775510204
0,3,0.3163743386243385,0.3501025094499183,0.52
1,3,0.17671051289894965,0.19998843045972486,0.2740899357601713
2,3,0.3581189986282578,0.26718505966328243,0.5509259259259259
4,4,0.6224589125579274,0.6658527446746713,0.9341434143414341
0,4,0.2919960317460317,0.3284136209092541,0.52
1,4,0.13842606754812317,0.16049904558903305,0.23126338329764454
2,4,0.3218952087007643,0.25048359532915604,0.5432098765432098
3,4,0.6445578231292517,0.15322018233844523,0.7142857142857143
