Task, StreamingStep, RR, nDCG, Success
0,0,0.3730817789847312,0.19661507824126265,0.6008004002001001
1,1,0.19055134680134672,0.17745174056482935,0.3971861471861472
0,1,0.19890957383453597,0.11278376289109324,0.3966983491745873
2,2,0.15330580638522298,0.12074595459346191,0.31766612641815234
0,2,0.12166162446302493,0.06905628802817929,0.28564282141070535
1,2,0.08762454476740197,0.0862924775164181,0.20238095238095238
3,3,0.04822893363161818,0.036640555026688,0.13926174496644295
0,3,0.07676516829843488,0.04240719286994836,0.2176088044022011
1,3,0.057091321377035716,0.051270160134496416,0.13636363636363635
2,3,0.06885660260862858,0.061259350984980344,0.17828200972447325
4,4,0.2207309746328436,0.16743204858958335,0.4
0,4,0.15776261146446222,0.08727508698402565,0.3296648324162081
1,4,0.14245731120731117,0.1364983161278537,0.31277056277056275
2,4,0.20606428957320377,0.17127913334771244,0.4521880064829822
3,4,0.15155401086609144,0.12146295844809839,0.3238255033557047
