Task, StreamingStep, RR, nDCG, Success
0,0,0.5416058201058201,0.5659606021063763,0.68
1,1,0.3160724199268093,0.4090988158424416,0.7016416845110636
0,1,0.5370449735449735,0.5596608888397154,0.6666666666666666
2,2,0.5456900352733683,0.45835481093032443,0.7052469135802469
0,2,0.538452380952381,0.5576653444123586,0.6566666666666666
1,2,0.3148420062766954,0.4056200744939454,0.6902212705210564
3,3,0.761904761904762,0.5462087795665659,0.9591836734693877
0,3,0.53034126984127,0.5517832557330573,0.65
1,3,0.2990043959530037,0.3883698587897413,0.6680942184154176
2,3,0.5376292132079167,0.44240594122269317,0.6820987654320988
4,4,0.8943102048300062,0.8739841370773416,0.9194419441944195
0,4,0.5439880952380953,0.5652821965929321,0.6766666666666666
1,4,0.2993131323431104,0.3874999276216891,0.6638115631691649
2,4,0.5391816088575349,0.4471364618009759,0.691358024691358
3,4,0.7506802721088437,0.5473974514308314,0.9591836734693877
