Task, StreamingStep, RR, nDCG, Success
0,0,0.5547432446381925,0.34017217840196257,0.71935967983992
1,1,0.5280260083831511,0.455529872339231,0.6785714285714286
0,1,0.5486687788338619,0.3349722821495122,0.7128564282141071
2,2,0.5946097347637056,0.48630722809661614,0.7228525121555915
0,2,0.5380620865988552,0.3251822472994412,0.7048524262131065
1,2,0.508316154744726,0.435682390028452,0.6612554112554112
3,3,0.5505113454777883,0.43681673363659745,0.674496644295302
0,3,0.5520712737321045,0.3275455616116354,0.7158579289644822
1,3,0.505528499278499,0.43641266323169553,0.6515151515151515
2,3,0.5358062565923182,0.43127814294831973,0.646677471636953
4,4,0.4798909657320871,0.37013968808925884,0.577570093457944
0,4,0.5317480168655766,0.3192227752212864,0.6953476738369184
1,4,0.5188582251082248,0.4439029201551209,0.6699134199134199
2,4,0.5363844511332352,0.426383872159364,0.6547811993517018
3,4,0.5539809044423138,0.4466794728822704,0.6879194630872483
