Task, StreamingStep, RR, nDCG, Success
0,0,0.48642592592592593,0.5214038555694314,0.6666666666666666
1,1,0.31742179622265243,0.4105286024259242,0.7059243397573162
0,1,0.4768478835978835,0.5100946685879778,0.65
2,2,0.6719956398197137,0.6052945684265896,0.8302469135802469
0,2,0.47394444444444433,0.5077878101154457,0.65
1,2,0.3158565876981291,0.40770350915986675,0.6987865810135617
3,3,0.7561467444120505,0.5501358126910905,0.9591836734693877
0,3,0.47028306878306875,0.5030864566614413,0.6433333333333333
1,3,0.2923070822428422,0.3816688143489886,0.6630977872947894
2,3,0.6702938222614147,0.6038507168197375,0.8302469135802469
4,4,0.8545639683015902,0.8504903047243633,0.9515451545154515
0,4,0.47028306878306875,0.5030864566614413,0.6433333333333333
1,4,0.29103021651201505,0.38052960229018723,0.662384011420414
2,4,0.6702423819321967,0.6037804482858247,0.8302469135802469
3,4,0.7561467444120505,0.5501358126910905,0.9591836734693877
