Task, StreamingStep, RR, nDCG, Success
0,0,0.7124615879368249,0.5093715525746907,0.9009504752376188
1,1,0.6126649144506283,0.5630330638558202,0.8170995670995671
0,1,0.7095948768034805,0.5051466131255413,0.8949474737368684
2,2,0.7118738905610866,0.6237709263457941,0.873581847649919
0,2,0.7089959662370862,0.5047573682683103,0.8949474737368684
1,2,0.6116921768707481,0.5619960478043817,0.814935064935065
3,3,0.6706176094598914,0.5935548772592291,0.8540268456375839
0,3,0.7083164598172097,0.5039491540226304,0.8949474737368684
1,3,0.6070178829107397,0.5582825187286335,0.814935064935065
2,3,0.7099444315813845,0.6221045661706699,0.873581847649919
4,4,0.6894859813084117,0.6090885660698316,0.8532710280373832
0,4,0.7043102900656673,0.49922147747158213,0.8909454727363681
1,4,0.6042242149385003,0.5552360433531699,0.8116883116883117
2,4,0.6921535334825446,0.6029726481751877,0.8557536466774717
3,4,0.6663490731863214,0.5880761457786803,0.8506711409395973
