Task, StreamingStep, RR, nDCG, Success
0,0,0.5502023809523809,0.5737179156708578,0.6833333333333333
1,1,0.3322612532997964,0.42338447503997273,0.708779443254818
0,1,0.5494378306878307,0.5727070517766237,0.6833333333333333
2,2,0.564890138154027,0.4771624669902514,0.7345679012345679
0,2,0.5482156084656085,0.5720230027143998,0.6833333333333333
1,2,0.3293568652776354,0.41964048181649893,0.702355460385439
3,3,0.7488662131519274,0.5475037284441805,0.9795918367346939
0,3,0.5477195767195767,0.5716204079567144,0.6833333333333333
1,3,0.30965240247895415,0.39621823135427253,0.6673804425410421
2,3,0.5607914462081128,0.4727255478555167,0.7283950617283951
4,4,0.9407846141757028,0.9255207918330468,0.9716471647164716
0,4,0.5479100529100528,0.5717816531062557,0.6833333333333333
1,4,0.309329220624723,0.3952809809714907,0.6645253390435403
2,4,0.5597718253968252,0.4712712443163017,0.7237654320987654
3,4,0.749092970521542,0.5458597092282135,0.9795918367346939
