Task, StreamingStep, RR, nDCG, Success
0,0,0.5783227513227512,0.6111197002867831,0.7333333333333333
1,1,0.3026208603831723,0.39495323258151604,0.6866523911491792
0,1,0.5747156084656084,0.6078712617719542,0.7333333333333333
2,2,0.5910867381932193,0.503924464029334,0.7484567901234568
0,2,0.571164021164021,0.6056709547118577,0.7333333333333333
1,2,0.3008984512196497,0.3933308348428506,0.6852248394004282
3,3,0.7517006802721088,0.5805789024576167,0.9591836734693877
0,3,0.5733359788359789,0.6062965777129652,0.73
1,3,0.28458215786909513,0.37340163752715444,0.6523911491791577
2,3,0.5848208161865565,0.5005425918663039,0.7515432098765432
4,4,0.9437848546759432,0.9358172602616152,0.9942994299429943
0,4,0.5747791005291004,0.6067466391867289,0.73
1,4,0.28411168892967564,0.37380027640855207,0.655960028551035
2,4,0.5835880854399367,0.49918230008199194,0.7515432098765432
3,4,0.7551020408163265,0.5811843218287494,0.9591836734693877
