Task, StreamingStep, RR, nDCG, Success
0,0,0.5769061117860519,0.37984809050609003,0.7868934467233617
1,1,0.5280410396481824,0.47891554544210146,0.7380952380952381
0,1,0.5705418185283123,0.37309219547899425,0.7788894447223612
2,2,0.6262760155385759,0.5354455851629047,0.7941653160453809
0,2,0.5689201743729012,0.3713383719307379,0.7783891945972986
1,2,0.5233242286813714,0.47338972524484246,0.7272727272727273
3,3,0.5683518429743263,0.4718911731339395,0.7634228187919463
0,3,0.5659119242160768,0.36888691374373217,0.7763881940970485
1,3,0.5127258984401842,0.46384224802561513,0.7229437229437229
2,3,0.6229052507010365,0.5288802717530042,0.7860615883306321
4,4,0.6657001928497254,0.5698361460120991,0.8420560747663551
0,4,0.5617012871515125,0.36527681858169847,0.7723861930965483
1,4,0.5119502851645709,0.4616277438748296,0.7207792207792207
2,4,0.6084079390805482,0.5165717574233979,0.7828200972447326
3,4,0.5575137157771388,0.46363564100780397,0.7583892617449665
