Method,Dataset,Task0_Mean,Task0_Std,Task1_Mean,Task1_Std,Task2_Mean,Task2_Std,Task3_Mean,Task3_Std,Task4_Mean,Task4_Std
PLAID,beir-ood,0.5749,0.0021,0.4183,0.0026,0.4805,0.005,0.5532,0.0042,0.9387,0.0006
PLAID,lotte-ood,0.3918,0.0005,0.5323,0.0037,0.5518,0.0055,0.5402,0.0054,0.5236,0.0006
IGP,beir-ood,0.5656,0.003,0.4132,0.003,0.4585,0.002,0.5522,0.0056,0.876,0.0033
IGP,lotte-ood,0.3433,0.0031,0.4529,0.0043,0.4594,0.0191,0.448,0.0084,0.3787,0.0062
MUVERA,beir-ood,0.5214,0.0,0.4069,0.0032,0.6059,0.0009,0.5406,0.0072,0.8486,0.0016
MUVERA,lotte-ood,0.5094,0.0,0.5585,0.0037,0.6225,0.0009,0.5925,0.002,0.6056,0.0026
Dessert,beir-ood,0.4041,0.0136,0.1572,0.0057,0.2774,0.006,0.177,0.0127,0.6733,0.0053
Dessert,lotte-ood,0.1954,0.0015,0.1752,0.0018,0.1248,0.0035,0.0356,0.0009,0.1634,0.0087
XTR,beir-ood,0.6097,0.0011,0.3945,0.0041,0.5016,0.0023,0.5799,0.006,0.936,0.0001
XTR,lotte-ood,0.3799,0.0001,0.4777,0.0015,0.538,0.0026,0.4704,0.0019,0.5719,0.0017
StreamPLAID,beir-ood,0.5731,0.0016,0.4197,0.0029,0.475,0.0021,0.5531,0.0054,0.9201,0.0078
StreamPLAID,lotte-ood,0.3843,0.0006,0.5199,0.0035,0.5331,0.0056,0.5338,0.0087,0.4879,0.0079
