Task, StreamingStep, RR, nDCG, Success
0,0,0.5484021164021166,0.5690985875782636,0.6733333333333333
1,1,0.32367271676693427,0.41441817041815,0.6987865810135617
0,1,0.5437301587301587,0.5651666596750661,0.6766666666666666
2,2,0.5533068783068781,0.4609331276227345,0.7129629629629629
0,2,0.5415039682539683,0.5608932299815617,0.66
1,2,0.32213215050474064,0.4119317744529918,0.6937901498929336
3,3,0.7489795918367348,0.5595788163103524,0.9387755102040817
0,3,0.53244708994709,0.5531357903581386,0.65
1,3,0.30281346657149566,0.38984306277063085,0.6588151320485368
2,3,0.551131687242798,0.4539350100087783,0.6975308641975309
4,4,0.8934548812024055,0.8734223418808147,0.9197419741974198
0,4,0.5297566137566138,0.5526470929802682,0.66
1,4,0.3048786014524766,0.39341098395987634,0.6680942184154176
2,4,0.5466606652949242,0.4508688835339217,0.6944444444444444
3,4,0.757482993197279,0.5605534173955866,0.9591836734693877
