Task, StreamingStep, RR, nDCG, Success
0,0,0.5640852172117812,0.3475630540034023,0.7343671835917959
1,1,0.5258185597471308,0.4563146907796671,0.6796536796536796
0,1,0.5544045832440038,0.3386497752345916,0.7268634317158579
2,2,0.5489497311620486,0.44816888396203536,0.6580226904376013
0,2,0.531693426078119,0.3225610371273214,0.6913456728364182
1,2,0.5255664639593207,0.4499663203161187,0.6818181818181818
3,3,0.5721456535634386,0.44984735853336877,0.7013422818791947
0,3,0.5291790736638168,0.3170477757819215,0.6908454227113556
1,3,0.4876593314093312,0.4190322672397,0.6341991341991342
2,3,0.5657469578863419,0.4568736420752449,0.6855753646677472
4,4,0.4920575582257824,0.38138808389688106,0.5831775700934579
0,4,0.5339302587801845,0.3216616066488247,0.6913456728364182
1,4,0.5183248299319725,0.4404095384202264,0.6634199134199135
2,4,0.5624064212394845,0.4538755119496634,0.6758508914100486
3,4,0.5336535900713753,0.42933854823122825,0.6795302013422819
