Task, StreamingStep, RR, nDCG, Success
0,0,0.5475965608465607,0.5684258636359087,0.6733333333333333
1,1,0.28928826348526515,0.3592115000374981,0.5753033547466095
0,1,0.5486150793650794,0.5683055828305242,0.67
2,2,0.46987801293356857,0.3611976246413895,0.5725308641975309
0,2,0.5506283068783069,0.5699118652430294,0.67
1,2,0.2873927919966458,0.35602163998070796,0.5681655960028551
3,3,0.7207482993197278,0.4973959188120401,0.9387755102040817
0,3,0.5491600529100529,0.5690627962512339,0.6733333333333333
1,3,0.2627267371378715,0.3283077199330083,0.5303354746609564
2,3,0.4610498726239468,0.3494282687455838,0.558641975308642
4,4,0.8140436662713888,0.7919263464626868,0.8328832883288328
0,4,0.5487949735449734,0.5692501540163561,0.6733333333333333
1,4,0.26138019328597434,0.3260049081178662,0.5246252676659529
2,4,0.44521666176758784,0.33485565321093796,0.5385802469135802
3,4,0.7190476190476189,0.49096068822062083,0.9183673469387755
