Task, StreamingStep, RR, nDCG, Success
0,0,0.5526769337049486,0.3428589736882448,0.7248624312156078
1,1,0.4413879440665154,0.3683183781287062,0.5497835497835498
0,1,0.5451571023607048,0.3340335787504436,0.7093546773386693
2,2,0.4987014741066606,0.3832309566809269,0.580226904376013
0,2,0.5460182472188481,0.3342974612244569,0.7108554277138569
1,2,0.44253676217961924,0.3661112067538247,0.5497835497835498
3,3,0.48375612549270264,0.3667806974464821,0.5922818791946308
0,3,0.5428263735042133,0.33208018104431875,0.7033516758379189
1,3,0.43747895622895616,0.36356159036410934,0.54004329004329
2,3,0.48815312186462917,0.3738032574897479,0.5737439222042139
4,4,0.38428497255600025,0.27377602567705106,0.4532710280373832
0,4,0.5377639216433623,0.32743773908986434,0.6993496748374187
1,4,0.4204605579605578,0.3476831705420781,0.5248917748917749
2,4,0.4693807722981145,0.35560779704275,0.5478119935170178
3,4,0.48549523276872253,0.36684578515887556,0.5973154362416108
