Task, StreamingStep, RR, nDCG, Success
0,0,0.5510171957671959,0.5768780623657231,0.6933333333333334
1,1,0.3273914324235515,0.41945569802876914,0.708779443254818
0,1,0.5517420634920636,0.5753039375713335,0.6866666666666666
2,2,0.5706888105036251,0.4868519356168144,0.7469135802469136
0,2,0.5472989417989418,0.5719203612753166,0.6866666666666666
1,2,0.3258151773676389,0.41682693781021063,0.702355460385439
3,3,0.7617346938775511,0.559000454925489,0.9795918367346939
0,3,0.5462195767195767,0.5707803957210918,0.6833333333333333
1,3,0.3111592626581914,0.40088128924587785,0.6795146324054246
2,3,0.5705155055849496,0.4838010040698898,0.7391975308641975
4,4,0.9524592340186393,0.937880677894307,0.9840984098409841
0,4,0.548691798941799,0.5727288957955623,0.6866666666666666
1,4,0.3087565004588551,0.3985254968401743,0.6773733047822984
2,4,0.5685969037820887,0.48296866562639434,0.7407407407407407
3,4,0.7602040816326532,0.5531388161916602,0.9591836734693877
