Task, StreamingStep, RR, nDCG, Success
0,0,0.5488412698412698,0.5722350113681087,0.6833333333333333
1,1,0.3006330512219156,0.3822346152446604,0.6366880799428979
0,1,0.5473412698412697,0.5702608382622043,0.68
2,2,0.5005199147560259,0.40968984658298496,0.6527777777777778
0,2,0.5470634920634919,0.5700297601224489,0.68
1,2,0.29857839638353484,0.37789910509824004,0.6245538900785154
3,3,0.7602040816326531,0.5092050817043842,0.9591836734693877
0,3,0.5438730158730158,0.5668439884791671,0.6766666666666666
1,3,0.27865356944586,0.354432017861866,0.588865096359743
2,3,0.49156072408387214,0.3999707007524556,0.6342592592592593
4,4,0.8321283318808069,0.8168424476873367,0.8592859285928592
0,4,0.5437063492063492,0.5666979093097042,0.6766666666666666
1,4,0.27741352548632997,0.353102536420102,0.5874375446109922
2,4,0.48533644424848116,0.39324472923909876,0.625
3,4,0.7404761904761904,0.4962124997026823,0.9183673469387755
