Task, StreamingStep, RR, nDCG, Success
0,0,0.6035019493873917,0.392284357921623,0.8029014507253627
1,1,0.564674379852951,0.4933439097866034,0.7316017316017316
0,1,0.5986779103837633,0.3873269197317599,0.7978989494747374
2,2,0.6091668596125646,0.496626394662177,0.7536466774716369
0,2,0.5972911058703956,0.38615910777717677,0.7963981990995498
1,2,0.5631111282896996,0.4907057116751441,0.7283549783549783
3,3,0.6153922978587409,0.504055180919835,0.7684563758389261
0,3,0.5964611273890914,0.385214837138707,0.7953976988494247
1,3,0.5578531917817631,0.48461824976550655,0.724025974025974
2,3,0.6037309305137504,0.4883236114055342,0.7439222042139384
4,4,0.54656282450675,0.4177989524847689,0.6794392523364486
0,4,0.5932839435590812,0.3818987881538118,0.7938969484742371
1,4,0.5531393870679583,0.4799360824933416,0.7207792207792207
2,4,0.5882393043657224,0.47510052222939253,0.7309562398703403
3,4,0.6091283157558326,0.49759825476896885,0.7667785234899329
