Task, StreamingStep, RR, nDCG, Success
0,0,0.5547857142857142,0.5755328518383906,0.68
1,1,0.32739398162310285,0.4201501365501423,0.7116345467523197
0,1,0.5504973544973546,0.5728159914857028,0.6833333333333333
2,2,0.5699392514207328,0.4823092868959791,0.7391975308641975
0,2,0.5542552910052909,0.5766578180111565,0.6866666666666666
1,2,0.32684080532046195,0.4187073730883539,0.7073518915060671
3,3,0.7399902818270165,0.5580797406520644,0.9795918367346939
0,3,0.5541917989417989,0.5766060062354775,0.6866666666666666
1,3,0.3069556325980302,0.39442044834115353,0.668807994289793
2,3,0.5679894179894178,0.4809309499379091,0.7361111111111112
4,4,0.9249371365707996,0.9100018918590268,0.9564956495649565
0,4,0.5508822751322751,0.5733049919790189,0.6833333333333333
1,4,0.30623024370347646,0.3939707121920387,0.6695217701641685
2,4,0.565209803057025,0.47645896160855844,0.7283950617283951
3,4,0.7331875607385812,0.5528038017590348,0.9795918367346939
