Task, StreamingStep, RR, nDCG, Success
0,0,0.5986074386399549,0.3850705749137173,0.8014007003501751
1,1,0.5878560262488834,0.5247219386462924,0.7673160173160173
0,1,0.5969703105521014,0.38419084524792085,0.7998999499749875
2,2,0.6385743870751972,0.5356300926973354,0.7941653160453809
0,2,0.5941536244312633,0.38076945439757026,0.7953976988494247
1,2,0.5898199683913969,0.5243930065312846,0.7662337662337663
3,3,0.6424450037285608,0.53879999608724,0.8053691275167785
0,3,0.5933268221412292,0.38048759099034973,0.7928964482241121
1,3,0.5828184051398339,0.5164160805535214,0.7597402597402597
2,3,0.6319878572714874,0.529908670152552,0.7860615883306321
4,4,0.6173624091381101,0.4967397168043762,0.7672897196261682
0,4,0.5898040289986264,0.37582632916114656,0.7898949474737369
1,4,0.5775664811379096,0.5112928334074776,0.7564935064935064
2,4,0.6183144246353319,0.5151715605639813,0.773095623987034
3,4,0.6290574731010974,0.525259826838713,0.8036912751677853
